bias,seed,condition,reliance,in_dist,ood,drop
0.6,0,baseline,0.10050856,0.8612722838227367,0.8613957403049696,0.00012345648223288652
0.6,0,blind_rand,0.089627184,0.86122749098493,0.8610727331070557,-0.00015475787787433415
0.6,0,double_rand,0.059066832,0.8616283453754242,0.8615219590251555,-0.00010638635026871679
0.6,0,counterfactual,0.068964414,0.8612888228728914,0.8610840760813105,-0.00020474679158088982
0.6,1,baseline,0.057992768,0.8615703536791854,0.8614875949189709,-8.275876021457407e-05
0.6,1,blind_rand,0.0945987,0.861708724999548,0.861565618425122,-0.0001431065744259552
0.6,1,double_rand,0.07446227,0.862043240366237,0.8619293627610847,-0.00011387760515235712
0.6,1,counterfactual,0.07952564,0.8616659478932915,0.861650876838696,-1.5071054595527933e-05
0.6,2,baseline,0.091201894,0.8621761022280378,0.86214746475742,-2.8637470617765004e-05
0.6,2,blind_rand,0.10077319,0.8614846742608019,0.8612869402688555,-0.00019773399194633612
0.6,2,double_rand,0.09361688,0.8617631440478487,0.8617058748177829,-5.726923006577067e-05
0.6,2,counterfactual,0.092779346,0.8616226386686702,0.8615710693946975,-5.156927397265143e-05
0.7,0,baseline,0.127626,0.8612284050023866,0.8613796482323417,0.0001512432299550781
0.7,0,blind_rand,0.089627184,0.8612192146909734,0.8610727331070557,-0.0001464815839177236
0.7,0,double_rand,0.06582953,0.8617021886462394,0.8615538919528254,-0.0001482966934139851
0.7,0,counterfactual,0.06896442,0.8612989502335598,0.8610840760361334,-0.0002148741974264956
0.7,1,baseline,0.0664763,0.8616058233926256,0.8615648692843716,-4.095410825399881e-05
0.7,1,blind_rand,0.0945987,0.8617774053047148,0.861565618425122,-0.0002117868795927791
0.7,1,double_rand,0.0675916,0.8620756365551404,0.8619674769559436,-0.00010815959919685536
0.7,1,counterfactual,0.07952565,0.8616699139474469,0.8616508769011871,-1.9037046259717805e-05
0.7,2,baseline,0.12015698,0.86211324089294,0.8622585579386925,0.00014531704575260207
0.7,2,blind_rand,0.10077319,0.8615060971714326,0.8612869402688555,-0.00021915690257701126
0.7,2,double_rand,0.081930764,0.8616863268599968,0.8616297146200965,-5.661223990027775e-05
0.7,2,counterfactual,0.092779346,0.8616382461424553,0.8615710696693282,-6.717647312715069e-05
0.8,0,baseline,0.16861022,0.8612682913015655,0.8615572291294914,0.00028893782792593914
